stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
20814,01AW2,08-mai,,50.394292,3.080399,0,10409,0
20812,11AK2,Escrebieux,,50.395994,3.080201,0,10408,0
20810,11AJ2,Troyon,,50.398395,3.082185,0,10407,0
20846,11AN2,Place de Pont,,50.398891,3.086664,0,10425,0
20844,11AM2,Briquette,,50.399471,3.094059,0,10424,0
20842,11AL2,Château Pasquier,,50.399522,3.098680,0,10423,0
20892,09AH2,Escarpelle,,50.400764,3.104863,0,10448,0
20890,09AG2,Belleforière,,50.404885,3.106801,0,10447,0
20888,09AF2,Barrière du Marais,,50.410778,3.110280,0,10446,0
20886,09AE2,4 Pavés,,50.418292,3.105954,0,10445,0
11078,39AB,Motte du Moulin,,50.379322,3.010989,1,,0
22174,39AB1,Motte du Moulin,,50.379280,3.010941,0,11078,0
10713,39AA,Place - ESQUERCHIN,,50.375822,3.014673,1,,0
21409,39AA1,Place - ESQUERCHIN,,50.375860,3.014571,0,10713,0
10714,06AO,La Montagne,,50.375458,3.022467,1,,0
21410,06AO1,La Montagne,,50.375342,3.022317,0,10714,0
10715,06AP,Béhague,,50.377797,3.029189,1,,0
21412,06AP1,Béhague,,50.377796,3.029327,0,10715,0
21413,06AP2,Béhague,,50.377799,3.029050,0,10715,0
21411,06AO2,La Montagne,,50.375574,3.022617,0,10714,0
22175,39AA2,Place - ESQUERCHIN,,50.375784,3.014774,0,10713,0
22173,39AB2,Motte du Moulin,,50.379364,3.011038,0,11078,0
20736,02AH2,Youri Gagarine,,50.345609,3.101269,0,10370,0
10371,02AI,Foucault,,50.345061,3.106143,1,,0
20738,02AI2,Foucault,,50.345084,3.106375,0,10371,0
10372,02AJ,Lycée,,50.347739,3.110432,1,,0
20740,02AJ2,Lycée,,50.347830,3.110570,0,10372,0
11083,02BA,Boulodrome,,50.353523,3.100667,1,,0
22187,02BA2,Boulodrome,,50.353647,3.100423,0,11083,0
10506,01BF,Rosa Parks,,50.354611,3.092499,1,,0
21008,01BF1,Rosa Parks,,50.354762,3.092495,0,10506,0
10732,01CR,Résidence d'Aoust,,50.358331,3.084328,1,,0
21464,01CR2,Résidence d'Aoust,,50.358383,3.084599,0,10732,0
10731,01CQ,Paul Hénin,,50.360914,3.088650,1,,0
21462,01CQ2,Paul Hénin,,50.360917,3.088697,0,10731,0
10730,01CP,Glacis,,50.362271,3.085555,1,,0
21460,01CP2,Glacis,,50.362509,3.084938,0,10730,0
10761,01CU,Place du Barlet,,50.365582,3.084239,1,,0
22185,01CU3,Place du Barlet,,50.365427,3.084494,0,10761,0
11074,01DN,Gabriel Fauré,,50.376938,3.095167,1,,0
22165,01DN2,Gabriel Fauré,,50.376938,3.095167,0,11074,0
21729,01CU2,Place du Barlet,,50.365802,3.083783,0,10761,0
21459,01CP1,Glacis,,50.362032,3.086172,0,10730,0
21461,01CQ1,Paul Hénin,,50.360911,3.088604,0,10731,0
21463,01CR1,Résidence d'Aoust,,50.358278,3.084057,0,10732,0
21009,01BF2,Rosa Parks,,50.354460,3.092504,0,10506,0
22188,02BA1,Boulodrome,,50.353399,3.100911,0,11083,0
20739,02AJ1,Lycée,,50.347648,3.110295,0,10372,0
20737,02AI1,Foucault,,50.345039,3.105912,0,10371,0
20735,02AH1,Youri Gagarine,,50.345438,3.101844,0,10370,0
21523,01CU1,Place du Barlet,,50.365518,3.084440,0,10761,0
10523,01FA,Rue de Paris,,50.365349,3.080073,1,,0
21040,01FA1,Rue de Paris,,50.365349,3.080073,0,10523,0
10546,01CB,Centre Commercial - DOUAI,,50.364343,3.078177,1,,0
21088,01CB2,Centre Commercial - DOUAI,,50.364516,3.077734,0,10546,0
10545,01CA,Maison des Elèves,,50.365231,3.074194,1,,0
21086,01CA2,Maison des Elèves,,50.365320,3.074145,0,10545,0
11050,01DK,Entrée des Eaux,,50.364627,3.071748,1,,0
22105,01DK01,Entrée des Eaux,,50.364627,3.071748,0,11050,0
10762,01CV,Porte d'Arras,,50.365516,3.070095,1,,0
21525,01CV1,Porte d'Arras,,50.365516,3.070095,0,10762,0
10763,01CW,Conservatoire,,50.368818,3.073621,1,,0
21526,01CW1,Conservatoire,,50.368818,3.073621,0,10763,0
10764,01CX,Petite Place,,50.369552,3.076837,1,,0
21527,01CX1,Petite Place,,50.369552,3.076837,0,10764,0
10765,01CY,Palais de Justice,,50.370763,3.077764,1,,0
21528,01CY1,Palais de Justice,,50.370763,3.077764,0,10765,0
10766,01CZ,L'Estanque,,50.372371,3.077992,1,,0
21529,01CZ1,L'Estanque,,50.372371,3.077992,0,10766,0
10780,01DA1,Wetz,,50.373142,3.079804,1,,0
21549,01DA11,Wetz,,50.373142,3.079804,0,10780,0
10768,01DB,Anchin - DOUAI,,50.372584,3.081361,1,,0
21531,01DB1,Anchin - DOUAI,,50.372584,3.081361,0,10768,0
10769,01DC,St Jacques,,50.371361,3.084420,1,,0
21532,01DC1,St Jacques,,50.371361,3.084420,0,10769,0
10770,01DD,Bellain,,50.369735,3.081240,1,,0
22189,01DD2,Bellain,,50.369735,3.081240,0,10770,0
11079,01EA,Rue de la Mairie,,50.368378,3.079031,1,,0
22176,01EA1,Rue de la Mairie,,50.368378,3.079031,0,11079,0
11080,01EB,Théâtre,,50.366416,3.078123,1,,0
22177,01EB1,Théâtre,,50.366416,3.078123,0,11080,0
10771,01DE,Place d'Armes,,50.367377,3.083732,1,,0
21534,01DE1,Place d'Armes,,50.367377,3.083732,0,10771,0
10654,13AN,Rés. Desbordes-Valmore,,50.338778,3.106462,1,,0
21295,13AN1,Rés. Desbordes-Valmore,,50.338778,3.106462,0,10654,0
10524,02AR,Crèche,,50.350054,3.108296,1,,0
21043,02AR1,Crèche,,50.349984,3.108307,0,10524,0
